"dataset","title","platform","access_status","access_reason","tile_count","verified_objects","info_url","doi","index_url","index_portal_url","index_sha256","url_set_sha256","license_url","license_source","citation","reviewed_on","acquired_start","acquired_end"
"CA24_Volcan","UAV Lidar Survey of Volcan Mountain Wilderness Preserve, CA 2024","Airborne Lidar","ready","All indexed file URLs matched positive-sized public objects; one LAS header checked per collection.",242,242,"https://portal.opentopography.org/datasetMetadata?otCollectionID=OT.042026.32611.1","https://doi.org/10.5069/G99P2ZV5","https://opentopography.s3.sdsc.edu/pc-bulk/CA24_Volcan/CA24_Volcan_TileIndex.zip","","bf2ca6762c4fe041553739e70505ed7f1936c3dafbfe696494d8a18920c6c0d2","e3c2633fefa61973d926c76b82b57d0bf425feeeefe2d0249b92264338cdbd38","https://creativecommons.org/licenses/by/4.0/","Dataset use license","Marks, M., Coulter, L., Madonia, S., Baer, N., Franklin, J., Sousa, D. (2026). UAV Lidar Survey of Volcan Mountain Wilderness Preserve, CA 2024. Distributed by OpenTopography. https://doi.org/10.5069/G99P2ZV5. Dataset acknowledgement: N/A - Acknowledgement Guidance","2026-09-20","2024-10-25","2024-10-25"
"CA20_AppFire","Riverside County Flood Control Apple Fire Lidar, CA 2020","Airborne Lidar","ready","All indexed file URLs matched positive-sized public objects; one LAS header checked per collection.",240,240,"https://portal.opentopography.org/datasetMetadata?otCollectionID=OT.032026.2230.3","https://doi.org/10.5069/G9K64G9M","https://opentopography.s3.sdsc.edu/pc-bulk/CA20_AppFire/CA20_AppFire_TileIndex.zip","","ecea76c48d7f40f3cc154e2efa805197c5069ca6e3b01d1ba7b3b0c5fb1da44b","e6d57f827d226c6977de33758be60f949df3871fc3d47a9a5da05bc162f0248b","https://creativecommons.org/licenses/by/4.0/","Dataset use license","Ream, K. (2026). Riverside County Flood Control Apple Fire Lidar, CA 2020. Riverside County Flood Control & Water Conservation District (RCFC&WCD). Distributed by OpenTopography.  https://doi.org/10.5069/G9K64G9M Dataset acknowledgement: N/A - Acknowledgement Guidance","2026-09-20","2020-09-02","2020-09-02"
"CA21_AppFire","Riverside County Flood Control Apple Fire Lidar, CA 2021","Airborne Lidar","ready","All indexed file URLs matched positive-sized public objects; one LAS header checked per collection.",63,63,"https://portal.opentopography.org/datasetMetadata?otCollectionID=OT.032026.2230.2","https://doi.org/10.5069/G9PZ572G","https://opentopography.s3.sdsc.edu/pc-bulk/CA21_AppFire/CA21_AppFire_TileIndex.zip","","e1336cbf6f1312fd7067ae8294a986bc2b71155f7dda21a19523865cb5ecc873","532d7a5900d4d165bc432756e9dc2732da6fc03fce1a0419d6fdfc908f7ec09e","https://creativecommons.org/licenses/by/4.0/","Dataset use license","Ream, K. (2026). Riverside County Flood Control Apple Fire Lidar, CA 2021. Riverside County Flood Control & Water Conservation District (RCFC&WCD). Distributed by OpenTopography. https://doi.org/10.5069/G9PZ572G Dataset acknowledgement: N/A - Acknowledgement Guidance","2026-09-20","2021-04-19","2021-04-19"
"CA22_AppFire","Riverside County Flood Control Apple Fire Lidar, CA 2022","Airborne Lidar","ready","All indexed file URLs matched positive-sized public objects; one LAS header checked per collection.",133,133,"https://portal.opentopography.org/datasetMetadata?otCollectionID=OT.032026.2230.1","https://doi.org/10.5069/G9TQ5ZSD","https://opentopography.s3.sdsc.edu/pc-bulk/CA22_AppFire/CA22_AppFire_TileIndex.zip","","38c51d7797ab6dd549c21dba901393b32a8270164721eb84f5894299e9e4fb5f","bbfab6f1f70715cac409b3dca47b2d8417cd58715f10a7bc8401645e2f506b03","https://creativecommons.org/licenses/by/4.0/","Dataset use license","Ream, K. (2026). Riverside County Flood Control Apple Fire Lidar, CA 2022. Riverside County Flood Control & Water Conservation District (RCFC&WCD). Distributed by OpenTopography.  https://doi.org/10.5069/G9TQ5ZSD Dataset acknowledgement: N/A - Acknowledgement Guidance","2026-09-20","2022-09-15","2022-09-15"
"CA20_DiBiase","Post-Bobcat Fire lidar of Sawpit Wash, California, 2020","Airborne Lidar","ready","All indexed file URLs matched positive-sized public objects; one LAS header checked per collection.",50,50,"https://portal.opentopography.org/datasetMetadata?otCollectionID=OT.032026.6340.1","https://doi.org/10.5069/G9ZG6QGP","https://opentopography.s3.sdsc.edu/pc-bulk/CA20_DiBiase/CA20_DiBiase_TileIndex.zip","","35d4e2db9814c9d5727eaf1bb75c6c4ca3e2ed3078adfbbc7fe06c3eeeb2a747","cf91c2266f49c025bc95bcffb92dc1091631d7a80b3c3ac8b79aa182fdec96ea","https://creativecommons.org/licenses/by/4.0/","Dataset use license","DiBiase, R. (2026). Post-Bobcat Fire lidar of Sawpit Wash, California, 2020. National Center for Airborne Laser Mapping (NCALM). Distributed by OpenTopography. https://doi.org/10.5069/G9ZG6QGP Dataset acknowledgement: Lidar data acquisition and processing completed by the National Center for Airborne Laser Mapping (NCALM). NCALM funding provided by NSF's Division of Earth Sciences, Instrumentation and Facilities Program. EAR-2324629","2026-09-20","2020-11-05","2020-11-05"
"CA25_Sondeno","Mapping Coastal Dune Erosion, CA 2025","Airborne Lidar","ready","All indexed file URLs matched positive-sized public objects; one LAS header checked per collection.",82,82,"https://portal.opentopography.org/datasetMetadata?otCollectionID=OT.022026.6339.1","https://doi.org/10.5069/G96W989H","https://opentopography.s3.sdsc.edu/pc-bulk/CA25_Sondeno/CA25_Sondeno_TileIndex.zip","","1c7397c63f91b57cddeefe934ce015170f785e665dbebead7714b1abe0317634","3e56d2867f65d61528439607faa91cf8401ce8e911d944d394ed297d6c02bc5a","https://creativecommons.org/licenses/by/4.0/","Dataset use license","Sondeno, S. (2026). Mapping Coastal Dune Erosion, CA 2025. National Center for Airborne Laser Mapping (NCALM). Distributed by OpenTopography. https://doi.org/10.5069/G96W989H Dataset acknowledgement: Lidar data acquisition and processing completed by the National Center for Airborne Laser Mapping (NCALM). NCALM funding provided by NSF's Division of Earth Sciences, Instrumentation and Facilities Program. EAR-2324629","2026-09-20","2025-08-18","2025-08-18"
"CO25_Ruef","Mapping Rock Glaciers in the San Juan Mountains, CO 2025","Airborne Lidar","ready","All indexed file URLs matched positive-sized public objects; one LAS header checked per collection.",91,91,"https://portal.opentopography.org/datasetMetadata?otCollectionID=OT.022026.6342.1","https://doi.org/10.5069/G9348HMJ","https://opentopography.s3.sdsc.edu/pc-bulk/CO25_Ruef/CO25_Ruef_TileIndex.zip","","fc13a9eb7fac1960884e6a73b87d85b831f89e72cd719b5879baa39b2ad33c82","35ff60bac3feaf1611db78dc2cf04fdadb73f48107fd1bd7595a9607dae86f98","https://creativecommons.org/licenses/by/4.0/","Dataset use license","Ruef, J. (2026). Mapping Rock Glaciers in the San Juan Mountains, CO 2025. National Center for Airborne Laser Mapping (NCALM). Distributed by OpenTopography. https://doi.org/10.5069/G9348HMJ Dataset acknowledgement: Lidar data acquisition and processing completed by the National Center for Airborne Laser Mapping (NCALM). NCALM funding provided by NSF's Division of Earth Sciences, Instrumentation and Facilities Program. EAR-2324629","2026-09-20","2025-08-13","2025-08-13"
"CA25_Allen","Monitoring Tree Water Stress, CA 2025","Airborne Lidar","ready","All indexed file URLs matched positive-sized public objects; one LAS header checked per collection.",99,99,"https://portal.opentopography.org/datasetMetadata?otCollectionID=OT.022026.32610.1","https://doi.org/10.5069/G9BP011S","https://opentopography.s3.sdsc.edu/pc-bulk/CA25_Allen/CA25_Allen_TileIndex.zip","","0a1f4d817c9aea5f036b27831c2b4ccd5ac0e86c1117e3cb7132948c2e77e5f9","8ec3427b265b58d51fb21bd1dc1c4adde09c7fbf3db03c1447ab6e3449e6f76e","https://creativecommons.org/licenses/by/4.0/","Dataset use license","Allen, J. (2026). Monitoring Tree Water Stress, CA 2025. National Center for Airborne Laser Mapping (NCALM). Distributed by OpenTopography. https://doi.org/10.5069/G9BP011S Dataset acknowledgement: Lidar data acquisition and processing completed by the National Center for Airborne Laser Mapping (NCALM). NCALM funding provided by NSF's Division of Earth Sciences, Instrumentation and Facilities Program. EAR-2324629","2026-09-20","2025-08-14","2025-08-16"
"AZ25_Fong","Lithologic Controls on Slot Canyon Formation, AZ 2025","Airborne Lidar","ready","All indexed file URLs matched positive-sized public objects; one LAS header checked per collection.",60,60,"https://portal.opentopography.org/datasetMetadata?otCollectionID=OT.022026.6341.1","https://doi.org/10.5069/G9GF0RRQ","https://opentopography.s3.sdsc.edu/pc-bulk/AZ25_Fong/AZ25_Fong_TileIndex.zip","","bdbeabdf188656f4833113e32f27be4e98517d5bd4aa4f1f38810ad19087ae48","2621b39629711e531e93c51d7868577160b6b6e358cf839b199e15550b601a4c","https://creativecommons.org/licenses/by/4.0/","Dataset use license","Fong, B., Robinson, M. (2026). Lithologic Controls on Slot Canyon Formation, AZ 2025. National Center for Airborne Laser Mapping (NCALM). Distributed by OpenTopography. https://doi.org/10.5069/G9GF0RRQ Dataset acknowledgement: Lidar data acquisition and processing completed by the National Center for Airborne Laser Mapping (NCALM). NCALM funding provided by NSF's Division of Earth Sciences, Instrumentation and Facilities Program. EAR-2324629","2026-09-20","2025-08-12","2025-08-12"
"CA25_Lamb","Quantifying Sediment Mobilization by Wildfire, CA 2025","Airborne Lidar","ready","All indexed file URLs matched positive-sized public objects; one LAS header checked per collection.",205,205,"https://portal.opentopography.org/datasetMetadata?otCollectionID=OT.122025.6340.1","https://doi.org/10.5069/G9RX9997","https://opentopography.s3.sdsc.edu/pc-bulk/CA25_Lamb/CA25_Lamb_TileIndex.zip","","8822cd12b22f9e648d71137b4bcb1b01e1a886dd8f9550bf061702a83be7a08f","29948f87677e67d2800dabf958759eba4b0b91cbd8c7c8a049d3a0c4272466e7","https://creativecommons.org/licenses/by/4.0/","Dataset use license","Lamb, M. (2025). Quantifying Sediment Mobilization by Wildfire, CA 2025. National Center for Airborne Laser Mapping (NCALM). Distributed by OpenTopography. https://doi.org/10.5069/G9RX9997 Dataset acknowledgement: Lidar data acquisition and processing completed by the National Center for Airborne Laser Mapping (NCALM). NCALM funding provided by NSF's Division of Earth Sciences, Instrumentation and Facilities Program. EAR-2324629","2026-09-20","2025-02-20","2025-02-21"
